policy_id,make,model,year,mileage,engine_size,fuel_type,transmission,safety_features,vehicle_value,driver_age,license_years,credit_score,province,urban,accidents,claims,traffic_violations,risk_score,risk_tier,approval_status,annual_premium,claim_probability,claim_amount
POL000001,Kia,Sportage,2025,149194,1.6,Diesel,Automatic,6,16132.80776,52,34,732,Harare,TRUE,0,0,1,10,Low,Approved,671.89,0.0667,0
POL000002,Mitsubishi,Pajero,2005,290706,2,Diesel,Manual,1,1355.28442,28,5,732,Mashonaland West,FALSE,3,0,1,18.39618,Low,Approved,57.38,0.1226,0
POL000003,BMW,5 Series,2006,143685,3,Diesel,Automatic,4,947.2801188,36,13,670,Midlands,FALSE,1,1,0,12.48555,Low,Approved,34.45,0.0832,0
POL000004,Ford,Ranger,2018,57953,2,Diesel,Manual,2,5924.733304,31,8,573,Bulawayo,TRUE,1,1,5,10,Low,Approved,247.38,0.0667,0
POL000005,Ford,EcoSport,2015,34327,1.6,Petrol,Manual,4,2545.546861,31,9,622,Mashonaland Central,FALSE,3,1,5,10,Low,Approved,100.98,0.0667,0
POL000006,Mazda,BT-50,2007,229622,3.2,Diesel,Manual,2,1498.395467,26,4,805,Bulawayo,TRUE,0,0,1,14.91366,Low,Approved,67.61,0.0994,0
POL000007,Mercedes,C-Class,2013,205078,2.5,Diesel,Manual,5,1416.467821,18,0,417,Matabeleland South,FALSE,2,2,2,12.07734,Low,Approved,52.26,0.0805,0
POL000008,Isuzu,D-Max,2017,267451,2.9,Petrol,Manual,6,5203.86219,30,11,682,Manicaland,FALSE,0,0,2,11.02353,Low,Approved,207.68,0.0735,0
POL000009,BMW,5 Series,2018,35369,1.6,Petrol,Automatic,6,6291.617788,22,0,428,Manicaland,FALSE,3,2,1,10,Low,Approved,239.84,0.0667,0
POL000010,Mercedes,E-Class,2008,110461,2.8,Diesel,Manual,4,1439.768451,46,28,553,Mashonaland Central,FALSE,0,0,0,10.36383,Low,Approved,58.61,0.0691,0
POL000011,Mazda,Demio,2023,35866,1.6,Petrol,Manual,1,12181.61621,35,12,797,Mashonaland Central,FALSE,1,1,4,10,Low,Approved,494.69,0.0667,0
